iter	RMSE
219	3.755633938
220	3.752806564
221	3.74610851
222	3.740119778
223	3.734148143
224	3.728381232
225	3.725242388
226	3.717060299
227	3.710992306
228	3.709559832
229	3.707702504
230	3.702598049
231	3.700055919
232	3.694945771
233	3.688483598
234	3.678900767
235	3.670907126
236	3.668301748
237	3.659072768
238	3.651127276
239	3.647610115
240	3.637134149
241	3.63397603
242	3.629784356
243	3.623298498
244	3.620626453
245	3.615968771
246	3.613642042
247	3.607816358
248	3.597926783
249	3.591595603
250	3.587726864
251	3.587275609
252	3.5809425
253	3.574460373
254	3.571675244
255	3.569601951
256	3.564756929
257	3.560107547
258	3.549127701
259	3.546262573
260	3.544825524
261	3.538877204
262	3.533199374
263	3.525920339
264	3.520120179
265	3.516775675
266	3.516453846
267	3.51367715
268	3.505347561
269	3.503584962
270	3.497394151
271	3.490463794
272	3.485232551
273	3.483921537
274	3.48068957
275	3.47639408
276	3.471956174
277	3.464674631
278	3.463839339
279	3.461896983
280	3.458594978
281	3.449477079
282	3.448592139
283	3.448049949
284	3.445829005
285	3.434982657
286	3.427150505
287	3.423227393
288	3.420446708
289	3.416464566
290	3.411928576
291	3.406221995
292	3.400441123
293	3.39299137
294	3.388442827
295	3.385839818
296	3.381858051
297	3.377757677
298	3.374213497
299	3.372972563
300	3.366621877
301	3.365017192
302	3.360829609
303	3.357392162
304	3.353473115
305	3.349688238
306	3.344601925
307	3.342199169
308	3.34058734
309	3.338569512
310	3.336542939
311	3.33335835
312	3.329701096
313	3.323140063
314	3.315868049
315	3.312784977
316	3.312027724
317	3.307993807
318	3.304645218
319	3.298827561
320	3.294250506
321	3.289575685
322	3.288943803
323	3.285668517
324	3.279979882
325	3.279202824
326	3.273590183
327	3.271263535
328	3.268033965
329	3.258552099
330	3.254685784
331	3.247936519
332	3.242747624
333	3.239827965
334	3.238029939
335	3.23117397
336	3.225946586
337	3.222059706
338	3.218275581
339	3.212873423
340	3.210895514
341	3.206452379
342	3.205491672
343	3.204155888
344	3.199907823
345	3.199665176
346	3.1947053
347	3.190826644
348	3.187901579
349	3.179275534
350	3.177208449
351	3.173872374
352	3.166481083
353	3.161799776
354	3.160586713
355	3.159594838
356	3.155436576
357	3.154920308
358	3.145735923
359	3.144734573
360	3.140450076
361	3.135795197
362	3.129789304
363	3.129572124
364	3.125817838
365	3.123632546
366	3.118536949
367	3.117482093
368	3.117352724
369	3.11301866
370	3.103708443
371	3.099942388
372	3.098238431
373	3.091815265
374	3.081738907
375	3.078287471
376	3.069992017
377	3.067225197
378	3.060003657
379	3.05451708
380	3.051969913
381	3.050561851
382	3.046835693
383	3.044791255
384	3.04462606
385	3.037326782
386	3.035181371
387	3.03336284
388	3.031203642
389	3.028217577
390	3.027212751
391	3.025854038
392	3.021368282
393	3.016835331
394	3.016181776
395	3.013172631
396	3.012645164
397	3.006579847
398	2.997838092
399	2.995821252
400	2.995064854
401	2.992518995
402	2.991019437
403	2.98591787
404	2.979526464
405	2.978580273
406	2.976670088
407	2.976505806
408	2.975320408
409	2.973847428
410	2.973404843
411	2.972513398
412	2.965453824
413	2.960851423
414	2.955838973
415	2.955548643
416	2.952713901
417	2.952348029
418	2.949469668
419	2.947409706
420	2.945884507
421	2.942221835
422	2.942063859
423	2.941688846
424	2.936434974
425	2.932193646
426	2.927795886
427	2.92418965
428	2.922377917
429	2.9213408
430	2.915215593
431	2.915126329
432	2.914726086
433	2.913051025
434	2.911126894
435	2.910529888
436	2.908753471
437	2.901270207
438	2.898305359
439	2.896555481
440	2.888149123
441	2.879664609
442	2.87696294
443	2.876241597
444	2.872435351
445	2.87016105
446	2.867121401
447	2.864726163
448	2.863273221
449	2.86290167
450	2.862332488
451	2.858776395
452	2.856289467
453	2.851726316
454	2.850400951
455	2.844301338
456	2.838791497
457	2.838730889
458	2.837648558
459	2.829373894
460	2.826731783
461	2.8220919
462	2.818483583
463	2.814009414
464	2.810248897
465	2.809135349
466	2.806770963
467	2.801707866
468	2.800635517
469	2.798321199
470	2.796336517
471	2.793958117
472	2.793671099
473	2.788194471
474	2.785141002
475	2.778110326
476	2.773809761
477	2.76902845
478	2.761658502
479	2.756655927
480	2.753961392
481	2.751546865
482	2.749217347
483	2.744289049
484	2.742992505
485	2.741309837
486	2.737790872
487	2.73776112
488	2.736186331
489	2.732065474
490	2.730914286
491	2.726984083
492	2.724843765
493	2.723023875
494	2.720218011
495	2.718725218
496	2.718042554
497	2.713530942
498	2.713381124
499	2.710601756
