iter	Passed	Remaining
226	391	1332
227	391	1327
228	392	1321
229	393	1316
230	393	1311
231	394	1306
232	395	1300
233	395	1296
234	397	1293
235	398	1288
236	398	1284
237	399	1279
238	400	1274
239	401	1269
240	401	1265
241	402	1260
242	403	1255
243	403	1251
244	404	1246
245	405	1242
246	406	1238
247	406	1233
248	407	1229
249	408	1224
250	409	1220
251	409	1216
252	410	1211
253	411	1207
254	411	1202
255	412	1198
256	413	1194
257	414	1190
258	414	1187
259	415	1183
260	416	1179
261	417	1174
262	417	1170
263	418	1166
264	419	1162
265	419	1158
266	420	1155
267	421	1151
268	422	1148
269	423	1144
270	424	1141
271	424	1137
272	425	1133
273	426	1129
274	426	1125
275	427	1122
276	428	1119
277	429	1115
278	430	1111
279	430	1107
280	431	1103
281	431	1099
282	432	1096
283	433	1092
284	434	1089
285	435	1085
286	435	1082
287	436	1079
288	437	1075
289	437	1072
290	438	1068
291	439	1065
292	440	1062
293	441	1059
294	441	1056
295	442	1052
296	443	1049
297	443	1045
298	444	1042
299	445	1038
300	445	1035
301	446	1032
302	447	1029
303	448	1025
304	448	1022
305	449	1019
306	450	1015
307	450	1013
308	451	1010
309	452	1007
310	453	1004
311	453	1001
312	454	998
313	455	995
314	456	992
315	456	989
316	457	986
317	458	982
318	459	979
319	459	977
320	460	973
321	461	970
322	461	967
323	462	964
324	463	962
325	463	959
326	464	956
327	465	953
328	466	950
329	466	947
330	467	945
331	468	942
332	468	939
333	469	936
334	470	933
335	471	931
336	471	928
337	472	925
338	473	923
339	474	920
340	474	917
341	475	914
342	476	912
343	476	909
344	477	906
345	478	903
346	478	901
347	479	898
348	480	895
349	481	893
350	481	890
351	482	888
352	483	886
353	484	884
354	485	881
355	486	879
356	487	877
357	487	874
358	488	872
359	489	869
360	490	867
361	491	865
362	491	862
363	492	860
364	493	858
365	494	855
366	494	853
367	495	850
368	496	848
369	497	846
370	498	844
371	498	842
372	499	839
373	500	837
374	501	835
375	501	832
376	502	830
377	503	828
378	503	825
379	504	823
380	505	821
381	506	819
382	507	816
383	507	814
384	508	812
385	509	810
386	510	808
387	510	805
388	511	803
389	512	801
390	513	799
391	514	797
392	514	795
393	515	793
394	516	790
395	516	788
396	517	786
397	518	783
398	518	781
399	519	779
400	520	777
401	520	774
402	521	772
403	522	770
404	523	768
405	523	766
406	524	763
407	525	761
408	526	760
409	527	759
410	528	757
411	529	756
412	530	754
413	531	752
414	532	751
415	533	749
416	534	747
417	535	745
418	536	743
419	536	741
420	537	739
421	538	737
422	539	735
423	540	733
424	541	732
425	542	730
426	543	728
427	543	726
428	544	724
429	545	723
430	546	721
431	546	719
432	547	717
433	548	715
434	549	713
435	550	711
436	550	709
437	551	708
438	552	706
439	553	704
440	554	702
441	554	700
442	555	698
443	556	697
444	557	695
445	558	693
446	559	691
447	560	690
448	560	688
449	561	686
450	562	684
451	563	682
452	564	681
453	564	679
454	565	677
455	566	675
456	566	673
457	567	671
458	568	669
459	569	668
460	569	666
461	570	664
462	571	663
463	572	661
464	573	659
465	573	657
466	574	655
467	575	653
468	576	652
469	577	650
470	577	648
471	578	647
472	579	645
473	580	643
474	580	641
475	581	640
476	582	638
477	582	636
478	583	634
